(애)호박전,(ae)hobak-jeon
가래떡,garaetteok
가지볶음,gaji-bokkeum
가츠동,gacheudong
간장게장,ganjang-gejang
간장새우,ganjang-saeu
갈비찜,galbi-jjim
갈비탕,galbi-tang
갈치구이,galchi-gui
감바스,gambaseu
감자(채)볶음,gamja(chae)-bokkeum
감자떡,gamjatteok
감자전,gamja-jeon
감자조림,gamja-jorim
감자탕,gamja-tang
감자튀김,gamja-twigim
갓김치,gat-gimchi
강정,gangjeong
건새우볶음,geonsaeubokkeum
겉절이,geotjeol-i
게국지,gegukji
경단,gyeongdan
계란말이,gyeran-mari
계란장조림,gyeranjangjorim
계란찜,gyeran-jjim
계란탕,gyelantang
계란후라이,gyelanhulai
고구마,goguma
고구마맛탕,goguma-mat-tang
고구마튀김,gogumatwigim
고로케,goloke
고르곤졸라피자,goleugonjollapija
고사리무침,gosalimuchim
고추된장박이,gochudoenjangbag-i
고추잡채,gochujabchae
고추장,gochujang
고추튀김,gochu-twigim
곤드레나물밥,gondeure-namul-bab
곰탕(설렁탕),gomtang(seolleongtang)
곱창구이,gobchang-gui
곱창전골,gobchang-jeongol
공갈빵,gonggalppang
과메기,gwamegi
과일화채,gwail-hwachae
교자만두,gyojamandu
군만두,gunmandu
굴국밥,gul-gukbab
굴전,gul-jeon
굴회,gulhoe
규동,gyudong
기타,etc
김,Gim
김말이,gimmal-i
김무침,gimmuchim
김밥,Gimbab
김치볶음밥,gimchi-bokkeumbab
김치전,gimchi-jeon
김치찌개,gimchi-jjigae
깍두기,kkakdugi
깐풍새우,kkanpung-saeu
깻잎장아찌,kkaesipjangajji
꼬마김밥,kkomagimbab
꼬막찜,kkomakjjim
꼬치,kkochi
꽈배기,kkwabaegi
꿀떡,kkultteog
나박김치,nabaggimchi
나초,nacho
낙지덮밥,nakji-deopbab
낙지(쭈꾸미)볶음,nakji(jjukkumi)-bokkeum
낙지호롱,nakji-horong
낫토,nasto
냉채족발,naengchaejogbal
녹차,nokcha
누가크래커,nugakeuraekeo
누룽지,nulungji
단무지,danmuji
단호박샐러드,danhobagsaelleodeu
단호박찜,danhobagjjim
닭가슴살구이,dalg-gaseumsalgu-i
닭가슴샐러드,dalg-gaseumsalsaelleodeu
닭갈비,dak-galbi
닭강정,dalg-gangjeong
닭날개구이,dalgnalgaegu-i
닭똥집볶음,talkttongjipbokkeum
닭발,dakbal
닭볶음탕,dak-bokkeum-tang
당고,danggo
대게찜,daegejjim
대하구이,daehagu-i
더덕구이,deodeok-gui
도넛츠,doneotcheu
도리뱅뱅이,doribaengbaengi
도토리묵,dotolimug
도토리전,dotori-jeon
돈가스,dongaseu
돌솥비빔밥,dolsot-bibimbab
동그랑땡,dong-geulangttaeng
동치미,dongchimi
동태전,dongtaejeon
동태찌개,dongtae-jjigae
동파육,dongpayuk
돼지갈비,dwaeji-galbi
돼지편육,dwaejipyeonyuk
된장국,doenjang-guk
된장찌개,doenjang-jjigae
두부부침,dubu-buchim
두부조림,dubujorim
딤섬,dimseom
딸기,strawberry
딸기타르트,ttalgitareuteu
땅콩조림,ttangkongjolim
떡갈비,tteok-galbi
떡국(만두국),tteok-guk(mandu-guk)
떡꼬치,tteogkkochi
떡볶이,tteog-bokki
똠양꿍,ttom-yangkkung
라면,lamyeon
라볶이,labokk-i
롤케이크,rolkeikeu
마늘장아찌,maneul-jangajji
마늘쫑장아찌,maneuljjongjangajji
마들렌,madeullen
마른오징어,mareunojingeo
마카롱,makarong
마파두부,mapadubu
막국수,mak-guksu
막창구이,makchang-gui
만두전골,mandu-jeongol
맛살,mas-sal
매운탕,maeun-tang
매작과,maejakgwa
머핀,meopin
멍게비빔밥,meong-gebibimbab
메밀소바,memil-soba
메밀전,memil-jeon
메밀전병,memil-jeonbyeong
멸치볶음,myeolchi-bokkeum
명란젓,myeongran-jeot
명이나물장아찌,myeonginamuljangajji
모닝빵,moningppang
무말랭이,mumallaeng-i
무생채,musaengchae
무절임,mujeol-im
묵밥,mugbab
묵은지찜,Mugeun-ji-jjim
문어숙회,muneosukhoe
물냉면,mul-naengmyeon
물만두,mul-mandu
물회,mulhoe
미역국,miyeok-guk
미역줄기볶음,miyeogjulgibokk-eum
미트볼스파게티,miteubol-seupageti
밀페유나베,milpoeyunabe
바게트,bageteu
밤,bam
배추김치,baechu-gimchi
백김치,baeggimchi
백설기,baek-seolgi
버섯(불고기)전골,beoseot-(bulgogi)-jeongol
버섯구이,beoseosgu-i
버섯볶음,beoseosbokk-eum
버섯장아찌,beoseosjangajji
버터쿠키,beoteokuki
베이글,beigeul
베이컨,beikeon
복국,boggug
부대찌개,budae-jjigae
부추김치,buchu-gimchi
북어국,bukeo-guk
불고기,bulgogi
불고기덮밥,bulgogi-deopbab
불고기피자,bulgogipija
붕어빵,bungeoppang
브로콜리,beulokolli
비빔냉면,bibim(hoe)-naengmyeon
비빔국수,bibim-guksu
비빔밥,bibimbab
비지찌개,biji-jjigae
빈대떡(녹두),bindae-tteog(nokdu)
빙수,bingsu
빠에야,ppaeya
뼈다귀해장국,ppyeodagwi-haejang-guk
양념간장,yangnyeomganjang
사케동,sakedong
와인,wain
산채비빔밥,sanchae-bibimbab
삶은달걀,salm-eundalgyal
소라,sola
삼겹살,samgyeobsal
삼계탕,samgye-tang
나물무침,namulmuchim
배추,baechu
상추,sangchu
상추겉절이,sangchugeotjeol-i
곱창볶음,gobchangbokkeum
새우구이,saeu-gui
바질파스타,bajilpaseuta
개불,gaebul
해삼,haesam
새우볶음밥,saeu-bokkeumbab
새우젓,saeu-jeot
새우튀김,saeu-twigim
샌드위치,saendeuwichi
샐러드,saelleodeu
생두부,saengdubu
생마늘,saengmaneul
생새우,saengsaeu
생선구이,saengseon-gui
생선조림,saengseon-jorim
생선회,saengseon-hoe
석갈비,seokgalbi
소고기구이,sogogigu-i
소고기무국,sogogimugug
소고기죽,sogogijug
소떡소떡,sotteogsotteog
소라빵,sorappang
소보로빵,soboroppang
소세지부침,sosejibuchim
소세지야채볶음,sausage-yachae-bokkeum
소시지구이,sosijigu-i
